视频时长,视频AV号,播放量,弹幕数,评论数,点赞数,投币数,分享数
25,648980377,2468634,549,813,85175,1422,448
11,416800556,15151566,1520,4411,425353,60090,82383
16,561093235,1533914,476,879,126979,3263,2660
19,604487890,1995244,678,1706,255154,2251,5709
21,774937218,2226499,802,2352,384989,7312,12994
13,604828095,838375,271,615,136327,1956,1159
11,906925670,240216,38,218,16175,250,170
110,909392855,186091,188,469,19221,1669,158
18,267358952,2615511,280,775,94186,1087,799
21,756862764,3840632,604,1497,77600,6073,10305
14,293675343,2093768,561,1380,94294,1959,1264
11,263051238,659930,294,899,60997,1586,1726
20,544038731,5769908,1032,2040,155273,6133,5705
105,697110276,137443,26,93,9295,900,128
29,510681781,1817109,418,1094,101872,3550,3789
21,739021874,231079,99,273,12724,462,59
17,757885361,3265345,594,2310,100174,5207,5495
39,738049945,760527,206,434,49858,602,882
16,225954134,791653,202,521,39663,355,526
32,442228110,799019,238,531,63668,661,715
29,438261245,864031,576,888,96022,2158,9127
21,247044144,4748162,1766,2513,143892,10585,12092
34,951805394,870518,808,1544,74963,2630,4056
17,396174471,625710,262,541,24501,1236,307
136,612007046,1035669,103,225,6106,253,58
128,994642419,2479020,2518,2044,80853,10090,11381
10,269575442,130400,18,132,6645,160,15
110,824570230,329328,379,369,21609,901,1033
23,685726096,3175188,787,1272,194483,5003,8906
96,697065650,1637221,721,724,153427,3278,4180
1204,909503528,3298726,8820,6677,100594,15466,10874
34,939003593,1839489,946,1177,201569,1946,2141
158,312067152,229085,210,529,12156,1338,253
636,528860001,2362820,1997,770,114853,6919,3714
31,353974379,4554254,809,1688,332800,7759,12022
725,528407968,1760962,4617,1981,167892,15658,7556
399,716747683,1277447,2627,1550,114382,19561,2927
218,740804671,1026161,1444,1557,62378,7110,425
58,396568110,1839305,958,1555,201547,44944,7384
15,741264816,370856,51,295,31247,266,273
186,824426743,1242193,1393,1018,120376,4545,6662
566,656189794,712514,630,423,72195,5404,1107
148,485862497,1388930,1774,1155,159522,12811,4863
52,270790273,497806,262,516,59169,1141,1330
166,260819623,4127541,4135,2611,277277,63479,10465
